age,education_num,capital_gain,capital_loss,hours_per_week,education_Bachelors,education_Masters,education_Prof-school,marital_status_Married-civ-spouse,marital_status_Never-married,occupation_Exec-managerial,occupation_Other-service,relationship_Not-in-family,relationship_Own-child,gender_Male,income
34,14,0,0,40,False,True,False,False,True,False,True,True,False,True,0
20,9,0,0,40,False,False,False,False,True,False,False,False,True,True,0
25,13,0,0,40,True,False,False,False,True,True,False,False,True,False,0
49,6,0,0,40,False,False,False,True,False,False,False,False,False,True,0
59,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
20,9,0,0,40,False,False,False,False,True,False,False,True,False,False,0
51,10,0,0,18,False,False,False,True,False,False,False,False,False,False,0
33,10,0,0,35,False,False,False,False,True,False,False,False,False,False,0
22,10,0,0,39,False,False,False,False,True,False,False,False,True,True,0
58,5,0,0,40,False,False,False,False,False,False,True,True,False,False,0
52,9,0,0,28,False,False,False,False,False,False,False,False,False,False,0
36,6,0,0,40,False,False,False,False,False,False,False,True,False,False,0
41,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
28,9,2597,0,40,False,False,False,False,True,False,False,False,True,True,0
19,10,0,0,16,False,False,False,False,True,False,False,False,True,True,0
18,9,0,0,28,False,False,False,False,True,False,True,True,False,False,0
18,9,0,0,48,False,False,False,False,True,False,False,False,True,False,0
28,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
29,11,0,0,40,False,False,False,True,False,True,False,False,False,True,1
20,9,0,0,20,False,False,False,False,True,False,False,False,True,False,0
40,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
26,9,0,0,40,False,False,False,False,True,False,False,False,False,True,0
46,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
23,7,0,0,24,False,False,False,False,True,False,True,True,False,False,0
44,9,0,0,40,False,False,False,False,False,False,False,False,False,False,0
43,13,0,0,40,True,False,False,False,False,False,False,False,False,False,1
31,13,0,0,60,True,False,False,False,False,False,False,False,False,False,0
18,10,0,0,25,False,False,False,False,True,False,False,False,True,False,0
19,10,0,0,30,False,False,False,False,True,False,False,False,True,True,0
41,10,0,0,40,False,False,False,False,False,False,False,True,False,False,0
41,9,0,0,40,False,False,False,False,False,False,False,False,False,False,0
69,9,0,0,25,False,False,False,False,False,False,False,True,False,False,0
48,16,0,0,40,False,False,False,True,False,False,False,False,False,False,1
28,9,0,0,40,False,False,False,False,True,False,False,False,True,True,0
27,9,0,0,60,False,False,False,True,False,False,False,False,False,True,1
41,14,0,2415,50,False,True,False,True,False,False,False,False,False,True,1
41,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
24,9,0,0,40,False,False,False,False,True,False,False,False,False,False,0
20,9,0,0,40,False,False,False,False,True,False,False,True,False,False,0
42,16,0,0,41,False,False,False,True,False,False,False,False,False,True,1
57,9,0,0,48,False,False,False,True,False,False,False,False,False,True,0
30,12,0,0,40,False,False,False,False,True,False,False,True,False,False,0
36,9,0,0,60,False,False,False,True,False,False,False,False,False,True,1
49,4,0,0,40,False,False,False,True,False,False,False,False,False,True,0
33,9,0,0,35,False,False,False,True,False,False,False,False,False,False,0
23,6,0,0,40,False,False,False,True,False,False,False,False,False,True,0
46,14,0,0,40,False,True,False,True,False,False,False,False,False,True,0
18,10,0,0,22,False,False,False,False,True,False,False,False,True,False,0
40,9,7688,0,55,False,False,False,True,False,True,False,False,False,True,1
43,9,0,1887,45,False,False,False,True,False,True,False,False,False,True,1
34,14,0,0,30,False,True,False,False,True,False,False,False,True,False,0
47,9,0,0,30,False,False,False,False,False,True,False,True,False,False,0
44,11,0,0,30,False,False,False,False,False,True,False,False,False,False,0
33,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
55,13,15024,0,50,True,False,False,True,False,True,False,False,False,True,1
19,9,2907,0,30,False,False,False,False,True,False,False,True,False,True,0
28,10,0,0,14,False,False,False,False,True,False,True,True,False,True,0
27,7,0,0,32,False,False,False,True,False,False,True,False,False,False,0
50,4,0,0,20,False,False,False,True,False,False,False,False,False,True,0
22,7,0,0,40,False,False,False,False,True,False,False,False,False,True,0
40,13,0,1887,45,True,False,False,True,False,False,False,False,False,True,1
25,10,0,0,40,False,False,False,False,True,False,False,False,True,False,0
26,9,0,0,40,False,False,False,False,True,False,False,True,False,True,0
22,13,0,0,25,True,False,False,False,True,False,False,True,False,True,0
42,10,0,625,40,False,False,False,False,True,False,False,False,False,False,0
38,13,0,0,40,True,False,False,False,False,True,False,True,False,True,0
55,7,0,0,30,False,False,False,True,False,False,True,False,False,True,0
32,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
22,9,0,0,45,False,False,False,True,False,False,False,False,False,True,0
29,13,0,0,40,True,False,False,False,True,False,False,False,True,True,0
46,14,0,0,45,False,True,False,True,False,True,False,False,False,True,1
31,10,0,0,40,False,False,False,True,False,True,False,False,False,True,1
58,16,0,0,16,False,False,False,True,False,False,False,False,False,True,1
42,9,0,0,45,False,False,False,True,False,False,False,False,False,True,0
18,9,0,0,25,False,False,False,False,True,False,False,False,False,True,0
58,9,0,0,33,False,False,False,False,False,True,False,True,False,True,0
54,9,0,1887,40,False,False,False,True,False,False,False,False,False,True,1
34,14,0,0,40,False,True,False,False,True,False,False,True,False,True,0
26,13,0,0,40,True,False,False,False,True,False,False,True,False,False,0
61,8,0,0,60,False,False,False,True,False,True,False,False,False,True,0
48,14,0,0,40,False,True,False,False,False,False,False,False,False,False,0
36,10,0,0,45,False,False,False,True,False,True,False,False,False,True,1
24,11,0,0,45,False,False,False,True,False,False,False,False,False,True,0
40,10,0,0,37,False,False,False,True,False,False,False,False,False,True,0
33,9,0,0,50,False,False,False,True,False,False,False,False,False,True,1
37,10,0,1887,40,False,False,False,True,False,False,False,False,False,True,1
34,14,4650,0,40,False,True,False,False,True,True,False,False,True,True,0
56,10,15024,0,40,False,False,False,True,False,True,False,False,False,True,1
28,9,0,0,38,False,False,False,True,False,False,False,False,True,False,1
37,13,0,0,55,True,False,False,False,False,True,False,True,False,False,0
44,9,0,0,40,False,False,False,False,False,False,False,False,False,False,0
64,10,0,0,8,False,False,False,True,False,False,False,False,False,True,0
54,9,0,0,45,False,False,False,False,False,False,False,True,False,True,0
23,9,0,0,50,False,False,False,False,True,False,False,True,False,True,0
34,13,0,0,40,True,False,False,False,False,False,False,True,False,True,0
22,9,0,0,45,False,False,False,False,True,False,True,True,False,False,0
33,13,0,1977,40,True,False,False,True,False,True,False,False,False,True,1
39,13,0,0,50,True,False,False,False,False,False,False,True,False,True,1
47,10,0,0,37,False,False,False,False,False,False,False,True,False,False,0
79,4,0,0,40,False,False,False,False,False,False,False,True,False,True,0
26,9,0,0,55,False,False,False,False,True,False,False,False,False,False,0
31,10,0,0,40,False,False,False,False,False,True,False,False,False,False,0
44,10,0,0,45,False,False,False,False,True,False,False,True,False,True,0
42,15,0,0,50,False,False,True,True,False,False,False,False,False,False,1
19,9,0,0,40,False,False,False,False,True,False,False,True,False,False,0
27,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
51,10,0,0,40,False,False,False,True,False,False,False,False,False,True,1
28,13,0,0,50,True,False,False,True,False,True,False,False,False,True,0
57,13,0,0,45,True,False,False,False,False,False,False,True,False,True,0
45,13,0,0,40,True,False,False,False,False,False,False,False,False,False,0
50,11,0,0,40,False,False,False,True,False,False,False,False,False,True,1
34,13,0,0,54,True,False,False,True,False,False,False,False,False,True,0
45,4,0,0,40,False,False,False,True,False,False,False,False,False,True,0
73,9,0,0,20,False,False,False,True,False,True,False,False,False,True,0
34,13,0,0,50,True,False,False,True,False,False,False,False,False,False,1
31,10,0,0,55,False,False,False,True,False,False,False,False,False,True,1
19,7,0,0,12,False,False,False,False,True,False,False,True,False,True,0
25,10,0,0,50,False,False,False,False,True,False,True,False,True,False,0
38,11,6497,0,40,False,False,False,False,False,False,False,False,False,False,0
39,13,0,0,40,True,False,False,True,False,False,False,False,False,True,0
23,13,0,0,32,True,False,False,False,True,False,False,False,True,False,0
49,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
33,9,0,0,32,False,False,False,False,True,False,True,True,False,True,0
21,3,0,0,38,False,False,False,False,True,False,False,False,False,True,0
31,11,0,0,40,False,False,False,False,False,False,False,True,False,True,0
23,13,0,0,45,True,False,False,False,True,True,False,True,False,False,0
34,13,0,0,40,True,False,False,True,False,False,False,False,False,True,0
25,9,0,0,40,False,False,False,False,True,False,False,True,False,False,0
39,9,0,0,40,False,False,False,False,True,False,False,False,False,True,0
52,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
63,5,7688,0,40,False,False,False,True,False,False,False,False,False,True,1
41,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
46,13,15024,0,38,True,False,False,True,False,False,False,False,False,True,1
53,9,0,0,40,False,False,False,True,False,True,False,False,False,True,0
25,5,1055,0,40,False,False,False,False,False,False,False,True,False,False,0
77,10,0,0,35,False,False,False,True,False,False,False,False,False,True,0
18,8,0,0,40,False,False,False,False,True,False,False,False,True,True,0
38,15,0,0,50,False,False,True,True,False,False,False,False,False,True,0
55,14,0,0,50,False,True,False,False,True,True,False,False,False,False,0
34,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
80,9,0,0,30,False,False,False,True,False,False,True,False,False,True,0
34,11,0,0,60,False,False,False,False,False,False,False,False,False,False,0
52,10,5013,0,40,False,False,False,True,False,False,False,False,False,True,0
42,9,0,0,28,False,False,False,False,True,False,True,False,False,False,0
26,10,0,0,40,False,False,False,False,True,False,False,True,False,False,0
31,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
25,9,0,0,35,False,False,False,False,True,False,True,False,True,False,0
55,9,0,2057,60,False,False,False,True,False,False,False,False,False,True,0
19,10,0,0,12,False,False,False,False,True,False,True,False,True,False,0
62,10,0,0,32,False,False,False,True,False,False,False,False,False,True,0
22,10,0,0,20,False,False,False,False,True,False,False,False,True,False,0
39,9,0,0,50,False,False,False,True,False,False,False,False,False,False,0
35,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
28,9,0,0,40,False,False,False,True,False,False,False,False,True,False,0
47,9,0,0,70,False,False,False,True,False,False,False,False,False,True,1
44,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
21,10,0,0,15,False,False,False,False,True,False,False,False,True,True,0
35,11,0,0,50,False,False,False,False,True,False,False,True,False,True,0
24,13,0,0,40,True,False,False,True,False,False,False,False,False,True,1
42,13,0,0,40,True,False,False,False,True,False,False,True,False,True,0
28,13,0,0,50,True,False,False,False,True,False,False,False,True,True,0
21,10,0,0,35,False,False,False,False,True,False,False,False,False,True,0
62,10,4650,0,40,False,False,False,False,False,False,False,True,False,True,0
39,9,0,0,40,False,False,False,False,True,False,True,True,False,False,0
30,9,0,0,40,False,False,False,False,True,False,True,True,False,True,0
72,15,0,1429,20,False,False,True,False,True,False,False,True,False,True,0
50,10,0,0,50,False,False,False,True,False,True,False,False,False,False,0
28,14,0,0,40,False,True,False,False,True,False,False,True,False,True,0
29,10,0,0,40,False,False,False,False,True,False,False,True,False,False,0
26,13,0,0,40,True,False,False,False,True,False,False,False,True,False,0
27,14,0,0,40,False,True,False,False,True,True,False,True,False,False,0
29,10,3103,0,40,False,False,False,True,False,False,False,False,False,True,1
61,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
29,6,0,0,25,False,False,False,True,False,False,False,False,False,True,0
21,10,0,0,30,False,False,False,False,True,False,False,False,True,False,0
31,7,0,0,20,False,False,False,True,False,False,False,False,False,False,0
25,9,0,0,75,False,False,False,True,False,True,False,False,False,True,0
58,6,0,0,40,False,False,False,True,False,False,False,False,False,True,1
64,10,0,0,40,False,False,False,True,False,True,False,False,False,False,1
46,14,0,0,38,False,True,False,False,True,True,False,True,False,True,0
53,9,0,0,35,False,False,False,True,False,False,False,False,False,True,1
19,9,0,0,35,False,False,False,False,True,False,True,False,True,False,0
42,9,0,0,52,False,False,False,False,False,False,True,True,False,True,0
18,7,0,0,24,False,False,False,False,True,False,False,False,True,True,0
58,13,15024,0,50,True,False,False,True,False,False,False,False,False,True,1
20,10,0,0,60,False,False,False,False,True,False,False,True,False,True,0
35,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
32,9,0,0,38,False,False,False,True,False,False,False,False,False,True,1
23,9,0,0,25,False,False,False,False,True,False,False,True,False,False,0
31,10,0,0,40,False,False,False,False,False,False,False,False,False,False,0
33,13,0,0,55,True,False,False,True,False,False,False,False,False,True,0
41,10,0,0,48,False,False,False,False,True,False,False,True,False,False,0
22,9,0,0,40,False,False,False,False,True,False,False,False,True,True,0
46,10,0,0,40,False,False,False,True,False,False,False,False,False,True,1
61,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
30,9,0,0,40,False,False,False,False,True,True,False,True,False,True,0
42,9,0,0,55,False,False,False,True,False,True,False,False,False,True,1
63,6,0,0,40,False,False,False,True,False,False,False,False,False,True,0
26,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
42,6,0,0,40,False,False,False,False,False,False,False,False,False,False,0
23,10,0,0,40,False,False,False,True,False,False,True,False,False,True,0
25,9,0,1590,40,False,False,False,False,True,False,False,False,False,True,0
30,5,0,0,32,False,False,False,True,False,False,True,False,False,True,1
23,9,0,0,40,False,False,False,False,True,False,False,False,True,True,0
34,11,27828,0,60,False,False,False,False,True,False,False,True,False,True,1
30,9,0,2057,48,False,False,False,True,False,False,False,False,False,True,0
39,10,0,0,40,False,False,False,True,False,False,False,False,False,True,1
30,7,0,1721,38,False,False,False,False,True,False,False,False,False,True,0
38,10,0,0,38,False,False,False,False,False,False,False,False,False,False,0
26,9,0,0,40,False,False,False,False,False,True,False,False,True,False,0
20,10,0,0,16,False,False,False,False,True,False,False,False,True,True,0
37,13,0,0,40,True,False,False,False,True,False,False,False,False,True,0
33,9,0,0,40,False,False,False,True,False,False,False,False,True,False,0
24,13,0,0,40,True,False,False,False,True,False,False,False,True,True,0
42,13,0,0,60,True,False,False,True,False,True,False,False,False,True,1
51,9,3103,0,84,False,False,False,True,False,False,False,False,False,True,0
56,12,0,0,45,False,False,False,True,False,False,False,False,False,True,1
22,10,0,0,40,False,False,False,False,True,False,False,False,True,True,0
52,10,0,0,60,False,False,False,True,False,False,False,False,False,True,0
44,13,4934,0,45,True,False,False,False,False,True,False,False,False,False,1
34,9,4064,0,35,False,False,False,True,False,False,False,False,False,False,0
51,10,0,0,42,False,False,False,False,False,False,False,True,False,True,1
20,10,0,0,40,False,False,False,False,True,False,False,True,False,True,0
19,10,0,0,25,False,False,False,False,True,False,False,True,False,False,0
37,13,0,0,40,True,False,False,True,False,True,False,False,False,True,1
68,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
22,10,0,0,40,False,False,False,False,False,False,False,True,False,True,0
56,13,0,0,40,True,False,False,True,False,True,False,False,False,True,0
37,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
52,2,0,0,40,False,False,False,True,False,False,False,False,False,True,0
26,9,0,0,40,False,False,False,False,False,False,False,False,True,True,0
33,14,0,0,50,False,True,False,True,False,False,False,False,False,True,0
45,14,0,0,42,False,True,False,False,False,False,False,False,False,False,0
18,7,0,0,15,False,False,False,False,True,False,True,False,True,True,0
43,10,0,0,60,False,False,False,True,False,False,False,False,False,True,1
64,16,15024,0,50,False,False,False,True,False,False,False,False,False,True,1
18,9,0,0,20,False,False,False,False,True,False,False,False,True,True,0
20,10,0,0,45,False,False,False,False,True,False,False,False,True,True,0
57,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
41,9,3674,0,42,False,False,False,False,False,False,False,False,False,False,0
34,14,0,1887,50,False,True,False,True,False,True,False,False,False,True,1
19,9,0,0,40,False,False,False,False,True,False,False,False,False,False,0
44,5,0,0,55,False,False,False,False,False,False,True,False,False,False,0
56,6,0,0,40,False,False,False,False,False,False,True,False,False,False,0
36,9,0,0,80,False,False,False,True,False,False,False,False,False,True,0
48,13,0,0,48,True,False,False,False,False,True,False,False,False,False,0
29,9,0,0,40,False,False,False,True,False,False,False,False,False,True,1
33,13,2174,0,40,True,False,False,False,True,False,False,True,False,True,0
31,3,0,0,40,False,False,False,True,False,False,True,False,False,True,0
39,14,0,0,45,False,True,False,True,False,False,False,False,False,True,1
66,9,10605,0,40,False,False,False,True,False,True,False,False,False,True,1
27,13,0,0,50,True,False,False,False,True,False,False,True,False,False,1
39,9,99999,0,40,False,False,False,False,False,True,False,False,False,False,1
59,4,5178,0,50,False,False,False,True,False,False,False,False,False,True,1
26,9,0,0,40,False,False,False,False,True,False,True,False,True,False,0
31,11,0,0,40,False,False,False,False,False,False,False,False,False,True,0
45,9,0,0,40,False,False,False,False,False,False,False,False,False,False,0
23,9,0,0,30,False,False,False,False,True,False,False,False,True,True,0
36,9,0,0,40,False,False,False,False,False,False,False,False,False,False,0
34,10,0,0,12,False,False,False,True,False,False,True,False,False,False,1
32,9,0,0,84,False,False,False,True,False,False,False,False,False,True,1
37,13,0,0,50,True,False,False,True,False,False,False,False,False,True,1
33,13,0,0,45,True,False,False,False,True,False,False,True,False,True,0
50,15,99999,0,80,False,False,True,True,False,False,False,False,False,True,1
32,12,0,0,40,False,False,False,False,True,False,False,True,False,True,0
35,13,0,0,40,True,False,False,False,True,False,False,False,True,False,0
37,7,0,0,40,False,False,False,True,False,False,False,False,False,True,0
44,10,0,0,60,False,False,False,False,False,False,False,True,False,True,0
57,10,0,0,25,False,False,False,False,False,False,False,False,False,True,0
29,10,0,0,40,False,False,False,True,False,True,False,False,True,False,0
55,9,0,0,50,False,False,False,True,False,False,False,False,False,True,1
43,15,0,0,25,False,False,True,True,False,False,False,False,False,True,1
43,10,0,0,70,False,False,False,True,False,False,False,False,False,True,0
45,10,0,0,60,False,False,False,True,False,False,False,False,False,True,1
33,14,0,0,8,False,True,False,True,False,False,False,False,False,False,0
26,6,0,0,40,False,False,False,False,False,False,True,False,False,False,0
23,10,0,0,68,False,False,False,True,False,False,False,False,False,True,0
41,4,0,0,40,False,False,False,False,False,False,False,True,False,True,0
24,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
47,13,0,0,44,True,False,False,True,False,False,False,False,False,True,0
34,9,0,0,45,False,False,False,False,True,False,False,False,True,True,0
40,9,0,0,40,False,False,False,True,False,True,False,False,False,True,1
28,13,0,1485,40,True,False,False,True,False,False,False,False,False,False,0
24,9,0,0,40,False,False,False,False,True,True,False,False,True,False,0
73,10,0,0,10,False,False,False,True,False,False,False,False,False,True,0
23,9,0,0,15,False,False,False,False,True,False,False,False,False,True,0
43,9,0,0,40,False,False,False,True,False,True,False,False,False,True,1
26,13,0,0,40,True,False,False,False,False,False,False,True,False,False,0
58,16,0,1485,35,False,False,False,False,False,True,False,False,False,False,1
52,9,0,0,35,False,False,False,False,False,False,False,False,False,False,0
29,7,0,0,99,False,False,False,True,False,False,False,False,False,True,1
47,7,0,0,35,False,False,False,True,False,False,True,False,False,True,0
49,9,0,0,37,False,False,False,False,False,False,False,False,False,False,0
40,7,0,0,40,False,False,False,False,False,False,False,False,False,False,0
62,9,0,0,40,False,False,False,True,False,False,False,False,False,False,0
49,9,0,1977,55,False,False,False,True,False,True,False,False,False,True,1
50,13,0,0,50,True,False,False,False,False,False,False,False,False,False,1
31,9,0,0,40,False,False,False,False,True,False,False,False,True,True,0
48,14,0,0,50,False,True,False,False,True,False,False,True,False,False,0
24,9,0,0,40,False,False,False,False,True,False,False,False,False,False,0
41,9,3418,0,40,False,False,False,False,True,False,False,False,True,False,0
37,9,0,0,60,False,False,False,False,False,False,False,False,True,True,0
45,13,0,0,45,True,False,False,True,False,True,False,False,False,True,1
63,9,0,0,16,False,False,False,True,False,False,False,False,False,True,0
36,14,0,0,45,False,True,False,True,False,True,False,False,False,True,0
45,13,0,0,40,True,False,False,True,False,True,False,False,False,True,0
41,13,0,0,40,True,False,False,False,True,False,False,True,False,False,0
26,12,0,0,20,False,False,False,False,True,False,False,False,False,False,0
17,7,0,0,25,False,False,False,False,True,False,False,False,True,False,0
27,9,0,0,36,False,False,False,True,False,False,True,False,False,True,0
43,9,0,0,65,False,False,False,True,False,False,False,False,False,True,0
35,9,0,0,55,False,False,False,False,True,False,False,False,True,True,0
38,13,0,0,40,True,False,False,False,False,False,False,False,False,False,0
26,9,0,0,40,False,False,False,False,True,False,False,True,False,True,0
28,10,0,0,40,False,False,False,False,True,True,False,False,True,False,0
38,13,0,0,24,True,False,False,True,False,False,False,False,False,False,1
36,7,0,0,40,False,False,False,False,False,False,False,False,False,False,0
33,9,0,0,40,False,False,False,True,False,False,False,False,False,False,1
19,9,1055,0,70,False,False,False,False,True,False,False,False,True,True,0
22,12,0,0,25,False,False,False,False,True,False,False,False,True,True,0
42,6,0,0,40,False,False,False,True,False,False,False,False,False,True,0
50,6,0,0,40,False,False,False,True,False,False,False,False,False,True,1
30,9,0,0,30,False,False,False,True,False,False,False,False,False,True,0
37,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
54,15,99999,0,40,False,False,True,True,False,False,False,False,False,True,1
52,13,0,0,40,True,False,False,False,True,True,False,True,False,True,0
65,2,0,0,40,False,False,False,True,False,False,False,False,False,True,0
33,9,0,0,40,False,False,False,False,False,False,False,True,False,False,0
25,10,0,0,40,False,False,False,False,True,False,False,False,False,True,0
24,13,0,0,45,True,False,False,False,True,False,False,True,False,True,0
26,11,114,0,40,False,False,False,False,False,False,False,False,False,False,0
39,9,0,0,40,False,False,False,False,False,False,False,True,False,True,1
59,9,0,0,40,False,False,False,False,False,False,True,True,False,False,0
29,10,0,0,40,False,False,False,False,True,False,False,False,False,False,0
